Country,Subtopic link,Status link,Status justification,iso_a3_eh
Peru,Enforcement of childhood vaccination requirement,Legal sanctions,"In Peru, individuals that fail to be vaccinated may receive a warning for noncompliance, but may also be assessed a fine. The amount of the fine is undefined in the General Law of Health, but will be determined on a case-by-case basis. ",PER
Peru,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,PER
Peru,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,PER
Peru,Enforcement of emergency vaccination,Legal sanctions,"In Peru, individuals that fail to be vaccinated may receive a warning for noncompliance, but may also be assessed a fine. The amount of the fine is undefined in the General Law of Health, but will be determined on a case-by-case basis. ",PER
Philippines,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,PHL
Philippines,Enforcement of childhood vaccination requirement,No enforcement mechanisms,"While there is a legal requirement for children to be vaccinated, no enforcement mechanisms were identified in the legislation. ",PHL
Philippines,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,PHL
Philippines,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,PHL
Philippines,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",PHL
Poland,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,POL
Poland,Enforcement of childhood vaccination requirement,Legal sanctions,"Parents in Poland can incur a fine for failing to vaccinate their child. The fine may not exceed the amount of PLN 10,000. ",POL
Poland,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,POL
Poland,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,POL
Poland,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",POL
Portugal,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,PRT
Portugal,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,PRT
Portugal,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,PRT
Portugal,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,PRT
Portugal,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",PRT
Qatar,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,QAT
Qatar,Enforcement of childhood vaccination requirement,Legal sanctions,"Parents of unvaccinated children in Qatar can be fined up to 2,000 Riyal and imprisoned for up to one month. ",QAT
Qatar,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,QAT
Qatar,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,QAT
Qatar,Enforcement of emergency vaccination,Legal sanctions,"In Qatar, citizens that refuse emergency vaccination can be fined up to 2,000 Riyal and imprisoned for up to one month. ",QAT
Republic of Korea (South Korea; ROK),Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,KOR
